OBJECTID,ID,NAME,ADDRESS,DEPARTMENT,INSTALL_YEAR,PS_14,PS_32,VDRVP_W_S,TOTAL_SITE_SERVERS,MONITOR,EXTERIOR_CAM,INTERIOR_CAM,PTZ_CAM,TOTAL_STATIONARY_CAM,TOTAL_SITE_CAMERA,TOTAL_SITE_CAMERA2,AVAILABLE_CAMERA_PORT,DESCRIPTION,X,Y,LATITUDE,LONGITUDE
62,513,Truesdell Elementary School,800 INGRAHAM STREET NW,DCPS,1999,2,0,0,2,2,6,14,0,20,20,28,8,DCPS,397826.8404987,142896.54999832,38.95396836,-77.02507157
63,514,Shaw Junior High School,925 RHODE ISLAND AVENUE NW,DCPS,1999,0,1,0,1,1,3,11,0,14,32,32,18,DCPS,397835.15949743,138255.36000183,38.91215913,-77.02496095
64,515,Seaton Elementary School,1503 10TH STREET NW,DCPS,1999,1,0,0,1,2,4,10,0,14,14,14,0,DCPS,397841.91949581,138084.31999644,38.91061836,-77.02488247
65,517,School Without Walls Senior High School @ Emery,215 G STREET NE,DCPS,1999,2,0,0,2,2,0,16,0,16,53,28,12,DCPS,399777.43549407,136742.11499737,38.89852993,-77.00256571
66,51,CCTV- 51,21st St.  Pennsylvania Ave. and I St. NW,DDOT,,,,,,,,,,,,,,DDOT CCTV,395949.839,137051.3306,38.901335,-77.046676
67,52,CCTV- 52,21st St. and K St.N.W.,DDOT,,,,,,,,,,,,,,DDOT CCTV,395949.9187,137207.1646,38.902606,-77.046682
68,518,Shaed Elementary School,301 DOUGLAS STREET NE,DCPS,2003,0,1,0,1,1,3,11,0,14,19,32,18,DCPS,399779.05149674,139532.00800194,38.92366224,-77.00254798
69,0, ,14th Street and Park Road NW,DDOT, , , , , , , , , , , , , , ,0,0,0,0
70,0, ,East Capitol St and 19th St,DDOT, , , , , , , , , , , , , , ,0,0,0,0
71,0,Support Services,1325 S St. NW,DPR, , , , , , , , , , ,6, , , ,0,0,0,0
72,0,Guy Mason,3600 Calvert St. NW,DPR, , , , , , , , , , ,16, , , ,0,0,0,0
73,0, , , , , , , , , , , , , , , , , ,0,0,0,0
74,0,Wilson Recreation Center,"4551 Fort Drive, NW",DPR, , , , , , , , , , ,16, , ,DPR,0,0,0,0
75,0,Riggs LaSalle,501 Riggs Road NE,DPR, , , , , , , , , , ,16, , , ,0,0,0,0
76,0, , , , , , , , , , , , , , , , , ,0,0,0,0
77,0,Child Advocacy Center (Bundy School),"429 O St, NW",PSD, , , , , , ,10,14, , ,24, , , ,0,0,0,0
78,0,Child and Family Services,"3700 10th St, NW",PSD, , , , , , ,6,6, , ,12, , , ,0,0,0,0
79,0,Eastern Market,"225 7th St, SE",PSD, , , , , , ,0,7, , ,7, , , ,0,0,0,0
80,0,District Department of the Environment,"1200 1st St, NE",PSD, , , , , , ,0,11, , ,11, , ,DOEE,0,0,0,0
